service,company,logoText,processes,assetTypes,tasks,tags,description,url,operatorNote,summary,targetIndustries,targetRoles,targetUseCases,painPoints,solutions,effects,comparisonPoints
REMETIS,RESTAR株式会社,RE,不動産売却|不動産仲介|不動産購入|不動産開発/不動産運用,事業用不動産|土地|オフィス|商業施設|物流施設|ホテル|賃貸住宅,物件情報整理|権利関係確認|売却価格査定|物件概要書作成|帯替え|買主探索|ソーシング|価格妥当性確認|DD管理|事業企画|用途検討|事業収支作成|レポーティング|売却出口戦略,統合データ|地理情報|ニーズマッチング|外部情報リサーチ,事業用不動産の社内情報を地図上でデータベース化し、売却物件と購入ニーズのマッチング、物件共有、マーケット・地理情報リサーチまで支援する統合プラットフォーム。,https://www.remetis.jp/,,事業用不動産の社内情報を地図上でデータベース化し、売却物件と購入ニーズのマッチング、物件共有、マーケット・地理情報リサーチまで支援する統合プラットフォーム。,売買仲介会社|不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド|物流不動産会社|オフィス仲介・管理会社,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,物件情報整理|権利関係確認|売却価格査定|物件概要書作成|帯替え|買主探索|ソーシング|価格妥当性確認,物件情報や候補案件が分散し、検索・共有に時間がかかる|価格や収支の根拠を短時間で説明しづらい|提案資料や内見準備が属人化し、顧客対応の品質に差が出る,統合データ|地理情報|ニーズマッチング|外部情報リサーチ|物件情報整理|権利関係確認|売却価格査定|物件概要書作成,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する|資料作成や提案準備を標準化する|運用データを蓄積し、レポーティングや改善検討に活用しやすくする,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
D-NET,ベーシックインフォメーションセンター株式会社,BIC,不動産開発/不動産運用,土地|建設/工事|インフラ,ソーシング|事業企画|建設・改修管理|リーシング,土木工事情報|営業支援|市場調査,全国の土木工事情報を提供する法人向けデータサービス。開発周辺の公共工事動向や営業先探索に活用できる。,https://www.bic-net.jp/d-net/,,全国の土木工事情報を提供する法人向けデータサービス。開発周辺の公共工事動向や営業先探索に活用できる。,AM会社|PM会社|不動産ファンド|建設会社,開発担当|AM担当|PM担当|運用管理担当|工事管理担当,ソーシング|事業企画|建設・改修管理|リーシング,物件情報や候補案件が分散し、検索・共有に時間がかかる|登記・権利・周辺情報の調査に手作業が多く、抜け漏れ確認が重い,土木工事情報|営業支援|市場調査|ソーシング|事業企画|建設・改修管理|リーシング,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
KJ-NET,ベーシックインフォメーションセンター株式会社,BIC,不動産購入|不動産開発/不動産運用,土地|建設/工事|オフィス|商業施設|物流施設|ホテル|住宅,ソーシング|事業企画|用途検討|建設・改修管理,建築計画情報|市場調査|新規営業,全国建築計画物件情報を提供する法人向けデータサービス。不動産開発、建材・設備営業、周辺市場把握に使える。,https://www.bic-net.jp/,,全国建築計画物件情報を提供する法人向けデータサービス。不動産開発、建材・設備営業、周辺市場把握に使える。,買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド|物流不動産会社|オフィス仲介・管理会社|建設会社,仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当|工事管理担当,ソーシング|事業企画|用途検討|建設・改修管理,物件情報や候補案件が分散し、検索・共有に時間がかかる|登記・権利・周辺情報の調査に手作業が多く、抜け漏れ確認が重い,建築計画情報|市場調査|新規営業|ソーシング|事業企画|用途検討|建設・改修管理,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
レリーズプラットフォーム,GOGEN株式会社,GO,不動産売却|不動産仲介|不動産購入,マンション|戸建|土地|住宅,媒介契約|重要事項説明|売買契約|契約・決済|決済・引渡し|売却活動管理|初回ヒアリング,電子契約|AI書類作成|顧客マイページ|案件管理,不動産取引に特化したクラウド型基幹システム。分譲マンション、住宅販売、実需仲介の導入事例では、売買契約・重要事項説明・契約書類管理を電子化し、顧客マイページによる書類共有、印紙代削減、分業部門間の進捗管理を支援している。,https://release.estate/,,不動産取引に特化したクラウド型基幹システム。分譲マンション、住宅販売、実需仲介の導入事例では、売買契約・重要事項説明・契約書類管理を電子化し、顧客マイページによる書類共有、印紙代削減、分業部門間の進捗管理を支援している。,売買仲介会社|不動産保有会社|デベロッパー|買取再販会社|不動産投資会社,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当|契約事務|法務・コンプライアンス担当,媒介契約|重要事項説明|売買契約|契約・決済|決済・引渡し|売却活動管理|初回ヒアリング,契約書類、確認依頼、進捗管理が紙・メールに依存しやすい,電子契約|AI書類作成|顧客マイページ|案件管理|媒介契約|重要事項説明|売買契約|契約・決済,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|紙・郵送・印紙・確認依頼に関わる負荷を減らす,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
RESPORTクラウド,Prop Tech plus株式会社,PT,不動産開発/不動産運用,事業用不動産|オフィス|商業施設|物流施設|ホテル|賃貸住宅,PM/BM管理|賃貸借契約管理|レポーティング|契約・決済,電子指図書|信託不動産|ワークフロー|資産運用,信託不動産の指図業務をオンライン化する指図管理プラットフォーム。指図状況の俯瞰、関係者共有、履歴管理、社内決裁から交付・受領までの業務フロー改善を支援する。,https://resp-cloud.com/,,信託不動産の指図業務をオンライン化する指図管理プラットフォーム。指図状況の俯瞰、関係者共有、履歴管理、社内決裁から交付・受領までの業務フロー改善を支援する。,AM会社|PM会社|不動産ファンド|物流不動産会社|オフィス仲介・管理会社,開発担当|AM担当|PM担当|運用管理担当|契約事務|法務・コンプライアンス担当,PM/BM管理|賃貸借契約管理|レポーティング|契約・決済,契約書類、確認依頼、進捗管理が紙・メールに依存しやすい|管理・工事・契約情報が分断され、二重入力や確認工数が発生する,電子指図書|信託不動産|ワークフロー|資産運用|PM/BM管理|賃貸借契約管理|レポーティング|契約・決済,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|紙・郵送・印紙・確認依頼に関わる負荷を減らす|運用データを蓄積し、レポーティングや改善検討に活用しやすくする,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
R.E.DATA,TRUSTART株式会社,TR,不動産売却|不動産仲介|不動産購入|不動産開発/不動産運用,マンション|戸建|土地|事業用不動産|商業施設|物流施設|ホテル|駐車場,リード獲得|ソーシング|物件調査|権利関係確認|価格妥当性確認|DD管理|売却出口戦略,不動産オーナーデータ|登記情報|営業リスト|マーケット情報,全国の不動産アナログ情報をもとに、売却・購入・管理などの課題を持つ不動産オーナーの探索、登記異動情報の把握、ターゲティング、営業施策の立案を支援するデータサービス。,https://www.trustart.co.jp/,,全国の不動産アナログ情報をもとに、売却・購入・管理などの課題を持つ不動産オーナーの探索、登記異動情報の把握、ターゲティング、営業施策の立案を支援するデータサービス。,売買仲介会社|不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド|物流不動産会社,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,リード獲得|ソーシング|物件調査|権利関係確認|価格妥当性確認|DD管理|売却出口戦略,物件情報や候補案件が分散し、検索・共有に時間がかかる|価格や収支の根拠を短時間で説明しづらい|登記・権利・周辺情報の調査に手作業が多く、抜け漏れ確認が重い,不動産オーナーデータ|登記情報|営業リスト|マーケット情報|リード獲得|ソーシング|物件調査|権利関係確認,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
R.E.REPO,TRUSTART株式会社,TR,不動産売却|不動産仲介|不動産購入,マンション|戸建|土地|事業用不動産|商業施設|物流施設,物件調査|権利関係確認|重要事項説明|販売資料作成|DD管理,不動産調査|重要事項説明|アウトソーシング|リスク確認,重要事項説明書作成など複雑で時間のかかる不動産調査を、専門家監修と複数名チェック体制で支援する調査サービス。現地・役所調査を含む調査負荷の軽減に向く。,https://www.trustart.co.jp/,,重要事項説明書作成など複雑で時間のかかる不動産調査を、専門家監修と複数名チェック体制で支援する調査サービス。現地・役所調査を含む調査負荷の軽減に向く。,売買仲介会社|不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|物流不動産会社,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当,物件調査|権利関係確認|重要事項説明|販売資料作成|DD管理,契約書類、確認依頼、進捗管理が紙・メールに依存しやすい|提案資料や内見準備が属人化し、顧客対応の品質に差が出る|登記・権利・周辺情報の調査に手作業が多く、抜け漏れ確認が重い,不動産調査|重要事項説明|アウトソーシング|リスク確認|物件調査|権利関係確認|販売資料作成,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|資料作成や提案準備を標準化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
T2TR ComFort,Prop Tech plus株式会社,PT,不動産購入|不動産開発/不動産運用,事業用不動産|オフィス|商業施設|物流施設|ホテル|賃貸住宅,物件情報整理|PM/BM管理|賃貸借契約管理|事業収支作成|レポーティング|売却出口戦略,REIT運用|AM/PM/FM|ファンド管理|収支管理,REIT・私募ファンド・不動産所有管理向けに、PM・AM・FM業務、テナント契約、工事管理、物件収支、予実管理を統合する運用管理プラットフォーム。導入事例では、レントロール、工事申請、支払管理、PMレポートを一元化し、二重入力や紙稟議の削減に使われている。,https://service.proptech.plus/services/t2tr-comfort,,REIT・私募ファンド・不動産所有管理向けに、PM・AM・FM業務、テナント契約、工事管理、物件収支、予実管理を統合する運用管理プラットフォーム。導入事例では、レントロール、工事申請、支払管理、PMレポートを一元化し、二重入力や紙稟議の削減に使われている。,買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド|物流不動産会社|オフィス仲介・管理会社,仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当|契約事務|法務・コンプライアンス担当,物件情報整理|PM/BM管理|賃貸借契約管理|事業収支作成|レポーティング|売却出口戦略,物件情報や候補案件が分散し、検索・共有に時間がかかる|契約書類、確認依頼、進捗管理が紙・メールに依存しやすい|管理・工事・契約情報が分断され、二重入力や確認工数が発生する,REIT運用|AM/PM/FM|ファンド管理|収支管理|物件情報整理|PM/BM管理|賃貸借契約管理|事業収支作成,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|紙・郵送・印紙・確認依頼に関わる負荷を減らす|運用データを蓄積し、レポーティングや改善検討に活用しやすくする,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
インデックスマップ＠クラウド,株式会社JON,JON,不動産売却|不動産仲介|不動産購入|不動産開発/不動産運用,土地|戸建|マンション|事業用不動産|インフラ,物件調査|権利関係確認|DD管理|販売資料作成|価格妥当性確認,地番地図|登記情報|公図|現地調査,地番地図、路線価図、登記情報、公図、地積測量図などをクラウドで確認・取得できる不動産登記活用プラットフォーム。物件調査や担保・権利確認の効率化に使える。,https://www.jon.co.jp/lp/index-map-cloud/,,地番地図、路線価図、登記情報、公図、地積測量図などをクラウドで確認・取得できる不動産登記活用プラットフォーム。物件調査や担保・権利確認の効率化に使える。,売買仲介会社|不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,物件調査|権利関係確認|DD管理|販売資料作成|価格妥当性確認,価格や収支の根拠を短時間で説明しづらい|提案資料や内見準備が属人化し、顧客対応の品質に差が出る|登記・権利・周辺情報の調査に手作業が多く、抜け漏れ確認が重い,地番地図|登記情報|公図|現地調査|物件調査|権利関係確認|DD管理|販売資料作成,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する|資料作成や提案準備を標準化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
ナーブVRクラウド,ナーブ株式会社,NV,不動産売却|不動産仲介,マンション|戸建|賃貸住宅,売却提案|販売資料作成|内見・案内|売却活動管理,VR内見|VRホームステージング|撮影予約|販売支援,不動産売買仲介向けに、360度パノラマ、VRホームステージング、撮影予約、クラウド管理を提供。導入事例では、来店前・遠隔地の顧客に物件の動線や室内イメージを伝え、売却活動時の物件訴求や案内前の比較検討を支援している。,https://www.nurve.jp/real-estate-agents/,,不動産売買仲介向けに、360度パノラマ、VRホームステージング、撮影予約、クラウド管理を提供。導入事例では、来店前・遠隔地の顧客に物件の動線や室内イメージを伝え、売却活動時の物件訴求や案内前の比較検討を支援している。,売買仲介会社|不動産保有会社|デベロッパー,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当,売却提案|販売資料作成|内見・案内|売却活動管理,提案資料や内見準備が属人化し、顧客対応の品質に差が出る,VR内見|VRホームステージング|撮影予約|販売支援|売却提案|販売資料作成|内見・案内|売却活動管理,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|資料作成や提案準備を標準化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
