industry,process,tasks,adopter,service,provider,summary,url
不動産開発,不動産開発/不動産運用,物件情報整理|DD管理|事業企画|事業収支作成,株式会社フジタ,REMETIS,RESTAR株式会社,物件情報の登録・検索、スクラッチシステム運用、部門横断共有の課題に対し、REMETISで情報活用基盤を整備。,https://www.remetis.jp/case-studies/fujita-corporation/
売買仲介,不動産仲介,物件情報整理|売却提案|買主探索|ソーシング,株式会社豊四季不動産,REMETIS,RESTAR株式会社,地域密着型の情報資産を蓄積・共有し、仕入れ・仲介・法人営業の情報活用を強化した事例。,https://www.remetis.jp/case-studies/toyoshiki-realestate/
不動産開発,不動産開発/不動産運用,ソーシング|DD管理|事業企画|レポーティング,森トラスト株式会社,REMETIS,RESTAR株式会社,物件情報の手入力や属人化を減らし、投資事業部の案件登録・会議準備・情報共有を効率化。,https://www.remetis.jp/case-studies/mori-trust/
総合商社,不動産開発/不動産運用,ソーシング|価格妥当性確認|事業企画|用途検討,住友商事株式会社,REMETIS,RESTAR株式会社,不動産投資開発で土地情報・周辺情報の収集を高速化し、多角的な検討を支援した事例。,https://www.remetis.jp/case-studies/sumitomo-corporation/
建設・開発,不動産開発/不動産運用,ソーシング|DD管理|事業収支作成|許認可・設計,清水建設株式会社,REMETIS,RESTAR株式会社,物件概要書入力や公示情報収集の負荷を下げ、投資開発部門の事業性判断を迅速化。,https://www.remetis.jp/case-studies/shimizu-corporation/
住宅・開発,不動産開発/不動産運用,ソーシング|事業企画|事業収支作成|レポーティング,ミサワホーム株式会社,REMETIS,RESTAR株式会社,Excel中心の物件登録から脱却し、物件情報共有と事業機会創出を支援した事例。,https://www.remetis.jp/case-studies/misawa-home/
売買仲介,不動産仲介,物件概要書作成|帯替え|販売資料作成|買主探索|内見・案内,三井不動産リアルティ株式会社,Facilo,株式会社Facilo,物件提案、帯替え、内見依頼などの営業事務を効率化し、顧客体験向上を狙った導入事例。,https://www.facilo.jp/case/06
売買仲介,不動産仲介,売却提案|物件概要書作成|帯替え|買主探索|販売資料作成,三菱地所ハウスネット株式会社,Facilo,株式会社Facilo,物件提案業務の複雑化と情報分散を解消し、顧客体験価値の向上を目指した事例。,https://facilo.jp/case/01
売買仲介,不動産仲介,初回ヒアリング|買主探索|内見・案内,株式会社ES&Company,Facilo,株式会社Facilo,タワーマンション特化の仲介で、顧客ログを使った提案と返信業務の効率化に活用。,https://facilo.jp/case/escompany
売買仲介,不動産仲介,売却活動管理|売却提案|媒介契約,株式会社アークレスト,Facilo,株式会社Facilo,売主への営業活動報告書作成と顧客管理の負荷を下げ、営業活動管理を効率化した事例。,https://facilo.jp/case/arcrest
