process,task,title,source,sourceType,summary,url
不動産売却,売却目的整理,不動産売却の流れと準備,CVmax,実務コラム,売却活動前の準備、査定、媒介契約、売却活動の流れを確認する参考情報。,https://cvmax.jp/real-estate-sale/
不動産売却,物件情報整理,不動産売却時に必要な書類,三井住友トラスト不動産,実務コラム,登記済権利証や固定資産税納税通知書など売却準備で確認する書類の参考情報。,https://smtrc.jp/useful/knowledge/sellbuy/2020_05.html
不動産売却,権利関係確認,不動産登記制度の概要,法務省,公的情報,所有権や抵当権など権利関係確認の前提となる登記制度の公式情報。,https://www.moj.go.jp/MINJI/minji02.html
不動産売却,権利関係確認,登記情報提供サービス,登記情報提供サービス,公的情報,登記記録、地図、公図、図面情報など権利関係確認で使う登記情報取得の入口。,https://www1.touki.or.jp/
不動産売却,権利関係確認,登記データ及び筆界データの利活用検討業務,国土交通省,公的資料,不動産売買や抵当権設定と登記情報・筆界情報の関係を確認する参考資料。,https://www.mlit.go.jp/tochi_fudousan_kensetsugyo/content/lab02_report.pdf
不動産売却,権利関係確認,購入した建物の敷地が越境していた場合の法的責任,住宅金融普及協会,実務解説,境界確認書や越境が売買後の紛争に与える影響を確認する参考情報。,https://www.sumai-info.com/information/legal_knowledge_32.html
不動産売却,売却価格査定,価格査定マニュアル,不動産流通推進センター,団体資料,査定価格提示に使うヒアリング、現地調査、記録書類、事例比較法などの参考情報。,https://www.retpc.jp/chosa/satei-2/
不動産売却,物件概要書作成,不動産広告の表示規約適用の有無,首都圏不動産公正取引協議会,団体資料,社内資料や業者間図面でも一般消費者に提示すると表示規約の対象になり得る点の参考情報。,https://www.sfkoutori.or.jp/jireikoukoku/hyojikiyakutekiyo-umu/
不動産売却,物件概要書作成,マイソクとは？基本の記載項目と魅力的に見える作り方,LIFULL HOME'S Business,実務コラム,仲介会社が使う販売図面、記載項目、作成時の考え方を確認する参考情報。,https://biz.homes.jp/column/know-how-00053
不動産売却,物件概要書作成,マイソクとは？作成のコツと法律上の注意点,マネーフォワード クラウド,実務コラム,販売図面の役割、記載項目、取引態様表示など法律上の注意点を確認する参考情報。,https://biz.moneyforward.com/realestate/basic/622/
